Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),semi_major_axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.33,1.4572773639485932e-21 AU3,5429,3.7,4.3,1407.6,4222.6,0.3870320855614973 AU,0.3074866310160428 AU,0.46657754010695185 AU,0.3870320855614973 AU,0.2410958904109589 yr,47.4 km / s,7.0,0.206,0.034,167,0.0,0,No,Yes
Venus,4.87,3.6152664917470324e-21 AU3,5243,8.9,10.4,-5832.5,2802.0,0.7232620320855615 AU,0.7185828877005348 AU,0.7279411764705882 AU,0.7232620320855615 AU,0.6156164383561643 yr,35.0 km / s,3.4,0.007,177.4,464,92.0,0,No,No
Earth,5.97,3.810008209577425e-21 AU3,5514,9.8,11.2,23.9,24.0,1.0 AU,0.9832887700534759 AU,1.016711229946524 AU,1.0 AU,1.0005479452054795 yr,29.8 km / s,0.0,0.017,23.4,15,1.0,1,No,Yes
Moon,0.073,1.0379255666573809e-21 AU3,3340,1.6,2.4,655.7,708.7,0.0025668449197860962 AU,0.0024264705882352943 AU,0.002713903743315508 AU,0.002570187165775401 AU,0.0747945205479452 yr,1.0 km / s,5.1,0.055,6.7,-20,0.0,0,No,No
Mars,0.642,2.028659121938685e-21 AU3,3934,3.7,5.0,24.6,24.7,1.5240641711229947 AU,1.3816844919786095 AU,1.6664438502673797 AU,1.5240641711229947 AU,1.8821917808219177 yr,24.1 km / s,1.8,0.094,25.2,-65,0.01,2,No,No
Jupiter,1898.0,4.270697819365149e-20 AU3,1326,23.1,59.5,9.9,9.9,5.203877005347594 AU,4.9505347593582885 AU,5.457219251336898 AU,5.203877005347594 AU,11.865753424657534 yr,13.1 km / s,1.3,0.049,3.1,-110,,95,Yes,Yes
Saturn,568.0,3.6002128374852964e-20 AU3,687,9.0,35.5,10.7,10.7,9.572192513368984 AU,9.074866310160427 AU,10.070187165775401 AU,9.572526737967914 AU,29.443835616438356 yr,9.7 km / s,2.5,0.052,26.7,-140,,274,Yes,Yes
Uranus,86.8,1.5268109098242303e-20 AU3,1270,8.7,21.3,-17.2,17.2,19.164438502673796 AU,18.266711229946523 AU,20.06283422459893 AU,19.164772727272727 AU,83.8054794520548 yr,6.8 km / s,0.8,0.047,97.8,-195,,28,Yes,Yes
Neptune,102.0,1.479320214831849e-20 AU3,1638,11.0,23.5,16.1,16.1,30.18048128342246 AU,29.887032085561497 AU,30.47393048128342 AU,30.18048128342246 AU,163.83561643835617 yr,5.4 km / s,1.8,0.01,28.3,-200,,16,Yes,Yes
Pluto,0.013,7.096722723389746e-22 AU3,1850,0.7,1.3,-153.3,153.3,39.481283422459896 AU,29.657754010695186 AU,49.30414438502674 AU,39.480949197860966 AU,248.1095890410959 yr,4.7 km / s,17.2,0.244,119.5,-225,1e-05,5,No,Unknown
